Trial_Number,Image_Name,Click_Count,Time_to_Click,Click_Coordinates,Find_Accuracy
1,waldo254.jpg,1,1.1784135999914724,[ 0.62708333 -0.52962963],0
1,waldo254.jpg,2,0.8556839000084437,[0.41354167 0.16111111],1
2,waldo252.jpg,1,1.530792899982771,[ 0.71145833 -0.4962963 ],1
3,waldo253.jpg,1,0.527273999992758,[-0.19270833  0.06481481],0
3,waldo253.jpg,2,0.5972968999994919,[-0.41979167  0.34259259],1
4,waldo256.jpg,1,0.6116272000072058,[ 0.265625   -0.46481481],0
4,waldo256.jpg,2,0.3102978999959305,[ 0.78125 -0.3    ],1
5,waldo255.jpg,1,1.904048900003545,[-0.19375    -0.22777778],1
6,waldo251.jpg,1,1.1822428999876138,[0.24166667 0.20925926],1
