Trial_Number,Image_Name,Click_Count,Time_to_Click,Click_Coordinates,Find_Accuracy
1,waldo06.jpg,1,1.8782511000172235,[ 0.78541667 -0.33333333],1
2,waldo04.jpg,1,1.0920372999971732,[0.39479167 0.13703704],1
3,waldo03.jpg,1,1.0774773000157438,[-0.44375     0.29259259],1
4,waldo01.jpg,1,1.0412883999815676,[ 0.178125   -0.64444444],0
4,waldo01.jpg,2,1.0808728999982122,[-0.51458333  0.03703704],0
4,waldo01.jpg,3,0.5059809999947902,[ 0.47395833 -0.30185185],0
5,waldo05.jpg,1,1.3890256999875419,[-0.19166667 -0.23148148],1
6,waldo02.jpg,1,1.3487045000074431,[ 0.70208333 -0.46851852],1
